player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
DeAndre Hopkins,2023,17.42,8.93,2,1.7,10.98,7.59,-8.49,WR
Romeo Doubs,2026,17.0,14.13,4,2.5,35.0,11.9,-2.87,WR
Rashid Shaheed,2026,17.0,5.68,3,1.5,23.0,2.16,-11.32,WR
Courtland Sutton,2024,16.22,8.99,2,2.4,0.0,8.89,-7.23,WR
Cooper Kupp,2025,16.18,9.17,3,1.6,17.5,11.78,-7.01,WR
Gabriel Davis,2024,15.33,16.5,3,1.9,24.0,13.6,1.17,WR
Darnell Mooney,2024,15.33,5.13,3,1.5,26.0,5.21,-10.2,WR
Allen Lazard,2023,14.74,9.5,4,2.3,22.0,5.13,-5.24,WR
Jakobi Meyers,2023,14.74,9.86,3,2.8,16.0,8.06,-4.88,WR
Khalil Shakir,2025,14.29,14.2,4,2.9,18.1,8.42,-0.09,WR
Mike Evans,2026,14.17,7.09,3,1.3,14.3,2.11,-7.08,WR
Brandin Cooks,2023,13.4,12.55,2,2.0,12.0,10.99,-0.85,WR
Michael Thomas,2023,13.4,4.92,1,1.8,6.26,1.69,-8.48,WR
Rashod Bateman,2025,13.22,11.81,3,2.3,16.5,7.26,-1.41,WR
Darius Slayton,2025,12.95,4.65,3,1.5,22.0,1.92,-8.3,WR
Christian Watson,2025,11.87,5.37,1,1.5,6.07,2.72,-6.5,WR
Mike Williams,2024,11.79,7.99,1,1.2,8.3,3.38,-3.8,WR
Jalen Nailor,2026,11.68,5.66,3,2.2,18.0,1.47,-6.02,WR
JuJu Smith-Schuster,2023,11.39,10.81,3,3.2,16.0,12.13,-0.58,WR
Russell Gage,2023,11.39,4.56,2,1.5,7.0,2.29,-6.83,WR
Adam Thielen,2023,11.17,8.52,3,1.3,14.0,4.9,-2.65,WR
Dyami Brown,2025,10.79,2.97,1,1.4,9.5,1.52,-7.82,WR
Tutu Atwell,2025,10.79,3.09,1,1.7,10.0,2.59,-7.7,WR
Josh Palmer,2025,10.79,6.93,3,1.9,15.0,4.18,-3.86,WR
Robert Woods,2023,10.22,5.51,2,1.3,10.0,2.11,-4.71,WR
Allen Robinson,2023,10.05,3.41,2,1.4,5.0,1.58,-6.64,WR
Adam Thielen,2025,9.44,6.41,1,1.7,1.5,1.85,-3.03,WR
Curtis Samuel,2024,9.43,5.73,3,1.3,14.02,1.71,-3.7,WR
Marquise Brown,2024,8.26,16.47,1,2.8,6.5,27.75,8.21,WR
Darius Slayton,2023,8.04,8.24,2,2.4,4.9,3.81,0.2,WR
Kendrick Bourne,2024,7.67,3.84,3,1.5,5.5,1.62,-3.83,WR
Rashod Bateman,2024,7.59,1.84,2,1.2,4.5,1.23,-5.75,WR
Marquise Brown,2025,7.55,2.45,1,1.0,6.5,0.39,-5.1,WR
Jahan Dotson,2026,7.5,3.06,2,1.4,10.0,1.39,-4.44,WR
Darius Slayton,2024,7.31,10.23,1,2.8,0.0,7.16,2.92,WR
DeVante Parker,2023,7.24,7.55,2,2.5,9.1,5.39,0.31,WR
Kalif Raymond,2023,7.03,4.36,2,1.5,8.15,1.94,-2.67,WR
Brandin Cooks,2025,7.01,2.87,2,1.1,7.75,0.32,-4.14,WR
Jauan Jennings,2024,7.01,1.66,2,1.2,8.44,0.12,-5.35,WR
D.J. Chark,2023,6.7,4.8,1,1.3,5.0,2.65,-1.9,WR
Cedrick Wilson Jr.,2023,6.7,2.72,1,1.2,5.0,0.38,-3.98,WR
Deonte Harty,2023,6.36,2.24,2,1.2,4.75,0.65,-4.12,WR
Parris Campbell,2023,6.3,5.23,1,2.1,2.9,2.14,-1.07,WR
Tyquan Thornton,2026,5.5,2.97,2,1.2,7.4,0.59,-2.53,WR
DeAndre Hopkins,2025,5.39,8.15,1,1.2,5.0,3.19,2.76,WR
Mecole Hardman,2023,5.36,5.96,1,2.6,3.58,2.42,0.6,WR
Josh Reynolds,2024,5.31,5.47,2,1.4,4.24,2.85,0.16,WR
Devin Duvernay,2024,5.01,1.59,2,1.7,5.7,0.55,-3.42,WR
Kendrick Bourne,2026,5.0,2.8,2,1.1,6.5,1.05,-2.2,WR
Marquise Brown,2026,5.0,5.71,1,1.3,5.0,1.85,0.71,WR
Kavontae Turpin,2025,4.85,3.99,3,1.5,5.0,0.89,-0.86,WR
Ashton Dulin,2023,4.82,2.63,2,1.2,3.5,0.73,-2.19,WR
K.J. Osborn,2024,4.72,4.05,1,1.4,3.18,0.73,-0.67,WR
Demarcus Robinson,2024,4.72,2.33,1,1.1,4.0,0.47,-2.39,WR
Noah Brown,2024,4.72,3.87,1,1.4,3.0,1.95,-0.85,WR
Braxton Berrios,2023,4.69,2.4,1,1.3,3.0,0.68,-2.29,WR
Mack Hollins,2025,4.53,3.58,2,1.2,3.5,1.26,-0.95,WR
Olamide Zaccheaus,2026,4.5,2.79,1,1.2,2.3,0.86,-1.71,WR
Nelson Agholor,2024,4.42,3.8,1,1.0,3.75,1.55,-0.62,WR
Nelson Agholor,2023,4.35,5.15,1,1.1,3.25,1.73,0.8,WR
Kalif Raymond,2025,4.32,2.72,1,1.3,3.33,0.72,-1.6,WR
Demarcus Robinson,2025,4.32,3.82,2,1.3,6.0,1.38,-0.5,WR
Marquez Valdes-Scantling,2025,4.32,2.99,1,1.3,3.0,1.23,-1.33,WR
Tyler Lockett,2025,4.32,6.56,1,1.3,3.49,2.23,2.24,WR
Marvin Jones,2023,4.02,4.48,1,1.4,3.0,1.69,0.46,WR
Randall Cobb,2023,4.02,3.77,1,1.3,0.25,1.07,-0.25,WR
Amari Cooper,2025,3.78,13.16,1,1.9,3.5,14.27,9.38,WR
Rashid Shaheed,2024,3.65,7.4,2,1.7,1.0,3.56,3.75,WR
Odell Beckham Jr.,2024,3.54,7.3,1,1.1,3.0,2.0,3.76,WR
D.J. Chark,2024,3.54,4.19,1,1.2,2.06,1.74,0.65,WR
Greg Dortch,2025,3.52,2.72,1,1.8,0.0,0.63,-0.8,WR
Jake Bobo,2026,3.52,1.15,1,1.1,0.0,0.02,-2.37,WR
