player_id,player_name,season,pass_attempts,completions,pass_yards,pass_tds,interceptions,sacks,pass_epa_per_play,pass_total_epa,completion_pct,yards_per_attempt,pass_td_rate,int_rate,carries,rush_yards,rush_tds,explosive_runs,rush_fumbles,rush_epa_per_play,rush_total_epa,yards_per_carry,rush_td_rate,explosive_run_rate,fumble_rate,targets,receptions,rec_yards,rec_tds,explosive_recs,rec_fumbles,air_yards,yac,rec_epa_per_play,rec_total_epa,catch_rate,yards_per_rec,rec_td_rate,explosive_rec_rate,air_yards_per_target,yac_per_rec,games_played,player,position,curr_year_signed,curr_years,curr_value,curr_apy,curr_guaranteed,is_active,curr_apy_cap_pct,curr_inflated_value,curr_inflated_apy,curr_inflated_guaranteed,draft_round,draft_overall,year_end,next_year_signed,next_apy,next_years,next_value,next_guaranteed,next_apy_cap_pct,next_inflated_value,next_inflated_apy,next_inflated_guaranteed
00-0034411,R.Gage,2020,2.0,1.0,39.0,1.0,0.0,0.0,1.068150119157508,2.136300238315016,0.5,19.5,0.5,0.0,2.0,9.0,0.0,1,0.0,-0.0951993410999421,-0.1903986821998842,4.5,0.0,0.5,0.0,109.0,72.0,786.0,4.0,6,0.0,927.0,281.0,0.2883380011475331,31.42884212508111,0.6605504587155964,10.916666666666666,0.03669724770642202,0.08333333333333333,8.504587155963304,3.9027777777777777,16,Russell Gage,WR,2018,4,2.616192,0.654048,0.156192,false,0.004,4.446936,1.111734,0.265491,6,194,2021,2022,10.0,3,30.0,15.0,0.048,43.400576,14.466859,21.700288
00-0038951,S.Tucker,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,308.0,2.0,9,1.0,0.20254832425190072,10.127416212595037,6.16,0.04,0.18,0.02,12.0,9.0,109.0,1.0,1,0.0,12.0,105.0,0.6183373747359534,7.420048496831441,0.75,12.11111111111111,0.08333333333333333,0.1111111111111111,1.0,11.666666666666666,11,Sean Tucker,RB,2023,3,2.7,0.9,0.155,false,0.004,3.617616,1.205872,0.207678,,,2025,2026,3.52,1,3.52,0.0,0.012,3.52,3.52,0.0
00-0030710,T.Burton,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,84.0,0.0,0,0.0,120.0,36.0,-0.3595049332060982,-8.628118396946357,0.5833333333333334,6.0,0.0,0.0,5.0,2.5714285714285716,8,Trey Burton,TE,2018,4,32.0,8.0,18.0,false,0.045,54.392777,13.598194,30.595937,,,2021,2020,0.91,1,0.91,0.1,0.005,1.382906,1.382906,0.151968
00-0033110,T.Higbee,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,85.0,1.0,1,0.0,203.0,26.0,-0.5588261255681322,-16.205957641475834,0.3793103448275862,7.7272727272727275,0.034482758620689655,0.09090909090909091,7.0,2.3636363636363638,11,Tyler Higbee,TE,2016,4,2.92086,0.730215,0.58086,false,0.005,5.666021,1.416505,1.126779,4,110,2019,2019,7.25,4,29.0,10.025,0.039,46.412327,11.603082,16.044261
00-0030855,Z.Tipton,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0,0.0,-0.5112149545567392,-2.556074772783696,4.0,0.0,0.0,0.0,8.0,5.0,57.0,0.0,1,0.0,28.0,50.0,-0.11604414129525964,-0.9283531303620771,0.625,11.4,0.0,0.2,3.5,10.0,4,Zurlon Tipton,RB,2015,2,1.11,0.555,0.0,false,0.004,2.333417,1.166709,0.0,,,2016,,,,,,,,,
00-0031590,J.Ajayi,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,187.0,1.0,5,0.0,-0.057759296152796596,-2.88796480763983,3.74,0.02,0.1,0.0,11.0,7.0,90.0,0.0,1,0.0,19.0,78.0,0.2078535842592828,2.2863894268521108,0.6363636363636364,12.857142857142858,0.0,0.14285714285714285,1.7272727272727273,11.142857142857142,9,Jay Ajayi,RB,2015,4,2.500812,0.625203,0.220812,false,0.004,5.257151,1.314288,0.464186,5,149,2018,2019,0.805,1,0.805,0.0,0.004,1.288342,1.288342,0.0
00-0033258,D.Daniels,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0,0.0,22.0,0.0,0.1321805677531908,0.3965417032595724,0.3333333333333333,4.0,0.0,0.0,7.333333333333333,0.0,3,Darrell Daniels,TE,2019,1,0.136,0.136,0.0,false,0.001,0.217658,0.217658,0.0,,,2019,2021,1.1275,1,1.1275,0.5625,0.006,1.860838,1.860838,0.928356
00-0040590,K.Mumpfield,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,92.0,1.0,0,0.0,296.0,25.0,-0.3810481245758854,-8.764106865245363,0.43478260869565216,9.2,0.043478260869565216,0.0,12.869565217391305,2.5,9,Konata Mumpfield,WR,2025,4,4.308536,1.077134,0.108536,true,0.004,4.648034,1.162008,0.117088,7,242,2028,,,,,,,,,
00-0031939,M.Jones,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0,0.0,-0.18577660247683525,-0.9288830123841763,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Matt Jones,RB,2017,1,0.2975,0.2975,0.0,false,0.002,0.536569,0.536569,0.0,3,95,2017,2018,0.755,2,1.51,0.0,0.004,2.566659,1.28333,0.0
00-0034753,M.Andrews,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,34.0,552.0,3.0,8,0.0,531.0,193.0,0.7752045310795075,38.76022655397537,0.68,16.235294117647058,0.06,0.23529411764705882,10.62,5.676470588235294,16,Mark Andrews,TE,2018,4,3.45316,0.86329,0.83666,false,0.005,5.869593,1.467398,1.422133,3,86,2021,2021,14.0,4,56.0,30.083059,0.077,92.423014,23.105753,49.64941
