player_name,player_name,team,season,week,pass_yards,pass_tds,rush_yards,rush_tds,rec_yards,rec_tds,completions,attempts,passing_air_yards,fantasy_points,fantasy_points_ppr,player_norm
A.Bachman,Alex Bachman,LV,2024,6,0,0,0,0,31,0,0,0,0,3.1,6.1,abachman
A.Bachman,Alex Bachman,LV,2024,7,0,0,0,0,0,0,0,0,0,0.0,0.0,abachman
A.Bachman,Alex Bachman,LV,2024,8,0,0,0,0,0,0,0,0,0,0.0,0.0,abachman
A.Banks,Aaron Banks,SF,2024,2,0,0,0,0,0,0,0,0,0,0.0,0.0,abanks
A.Banks,Aaron Banks,SF,2024,4,0,0,0,0,0,0,0,0,0,0.0,0.0,abanks
A.Banks,Aaron Banks,SF,2024,8,0,0,0,0,0,0,0,0,0,0.0,0.0,abanks
A.Banks,Aaron Banks,SF,2024,11,0,0,0,0,0,0,0,0,0,0.0,0.0,abanks
A.Banks,Aaron Banks,SF,2024,16,0,0,0,0,0,0,0,0,0,0.0,0.0,abanks
A.Barner,AJ Barner,SEA,2024,2,0,0,0,0,0,0,0,0,0,0.0,0.0,abarner
A.Barner,AJ Barner,SEA,2024,3,0,0,0,0,13,0,0,0,0,1.3,4.3,abarner
A.Barner,AJ Barner,SEA,2024,4,0,0,0,0,27,1,0,0,0,8.7,10.7,abarner
A.Barner,AJ Barner,SEA,2024,5,0,0,0,0,13,0,0,0,0,1.3,2.3,abarner
A.Barner,AJ Barner,SEA,2024,6,0,0,0,0,13,0,0,0,0,1.3,2.3,abarner
A.Barner,AJ Barner,SEA,2024,7,0,0,0,0,5,0,0,0,0,0.5,1.5,abarner
A.Barner,AJ Barner,SEA,2024,8,0,0,0,0,34,0,0,0,0,3.4000000000000004,5.4,abarner
A.Barner,AJ Barner,SEA,2024,9,0,0,0,0,27,0,0,0,0,2.7,6.7,abarner
A.Barner,AJ Barner,SEA,2024,11,0,0,0,0,15,0,0,0,0,1.5,3.5,abarner
A.Barner,AJ Barner,SEA,2024,12,0,0,0,0,19,0,0,0,0,1.9000000000000001,4.9,abarner
A.Barner,AJ Barner,SEA,2024,13,0,0,0,0,14,1,0,0,0,7.4,9.4,abarner
A.Barner,AJ Barner,SEA,2024,14,0,0,0,0,13,0,0,0,0,1.3,2.3,abarner
A.Barner,AJ Barner,SEA,2024,15,0,0,0,0,5,0,0,0,0,0.5,1.5,abarner
A.Barner,AJ Barner,SEA,2024,16,0,0,0,0,13,1,0,0,0,7.3,9.3,abarner
A.Barner,AJ Barner,SEA,2024,18,0,0,0,0,34,1,0,0,0,9.4,14.4,abarner
A.Barno,Amare Barno,CAR,2024,13,0,0,0,0,0,0,0,0,0,0.0,0.0,abarno
A.Barno,Amare Barno,CAR,2024,14,0,0,0,0,0,0,0,0,0,0.0,0.0,abarno
A.Barno,Amare Barno,CAR,2024,15,0,0,0,0,0,0,0,0,0,0.0,0.0,abarno
A.Barno,Amare Barno,CAR,2024,16,0,0,0,0,0,0,0,0,0,0.0,0.0,abarno
A.Barrett,Alex Barrett,SF,2024,16,0,0,0,0,0,0,0,0,0,0.0,0.0,abarrett
A.Barrett,Alex Barrett,SF,2024,17,0,0,0,0,0,0,0,0,0,0.0,0.0,abarrett
A.Beck,Andrew Beck,GB,2024,6,0,0,0,0,0,0,0,0,0,0.0,0.0,abeck
A.Beck,Andrew Beck,HOU,2024,16,0,0,0,0,0,0,0,0,0,0.0,0.0,abeck
A.Billings,Andrew Billings,CHI,2024,1,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Billings,Andrew Billings,CHI,2024,2,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Billings,Andrew Billings,CHI,2024,3,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Billings,Andrew Billings,CHI,2024,4,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Billings,Andrew Billings,CHI,2024,5,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Billings,Andrew Billings,CHI,2024,6,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Billings,Andrew Billings,CHI,2024,9,0,0,0,0,0,0,0,0,0,0.0,0.0,abillings
A.Blackson,Angelo Blackson,ARI,2024,4,0,0,0,0,0,0,0,0,0,0.0,0.0,ablackson
A.Booker,Austin Booker,CHI,2024,2,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,3,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,4,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,5,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,6,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,8,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,9,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
A.Booker,Austin Booker,CHI,2024,10,0,0,0,0,0,0,0,0,0,0.0,0.0,abooker
